meanI,meanJ,taoI,taoJ,kontras,Energy,Homogenitas,Correlation,Class
13.99193302,13.99284266,46.98566366,46.98692188,8.167709704,0.840433049,0.997924765,0.998150187,1
15.57529501,15.57498981,46.66346128,46.66287029,10.31782473,0.808375871,0.995752012,0.997630756,1
21.71953274,21.70692602,56.15177823,56.13393029,37.91458992,0.75221203,0.990237233,0.993985744,1
57.05385327,57.06005418,85.47288803,85.47595745,33.92440775,0.475696944,0.980420102,0.997678283,1
52.49865238,52.50650115,82.27182003,82.27388561,42.69147354,0.49813526,0.978932522,0.996846467,1
58.15433861,58.13636018,82.41711399,82.40499636,31.48083504,0.435796461,0.977628992,0.997682398,1
19.68683818,19.69967357,57.84263996,57.86178599,25.91929996,0.798825599,0.994517496,0.996127919,1
33.18717813,33.17660372,68.7595466,68.74933791,54.40595809,0.650536964,0.986768214,0.994245425,1
19.52797362,19.52797362,61.13462555,61.13462555,55.69099898,0.821519369,0.993852053,0.992549584,1
21.53979376,21.53979376,63.55061133,63.55061133,58.95671541,0.802921256,0.993637565,0.992700992,1
24.20860442,24.20860442,56.73647268,56.73647268,35.40383567,0.710794174,0.989339666,0.994500849,1
26.13705502,26.12606347,60.98042045,60.96687289,22.41717325,0.706007024,0.989849893,0.996985185,1
28.6390174,28.65151486,64.78584052,64.80245026,9.688940727,0.687350305,0.99062795,0.998846134,1
33.85552594,33.84344604,66.78465913,66.77075971,10.88139348,0.622512491,0.988354502,0.998779949,1
23.99997468,24.01092285,62.46654979,62.47980653,49.42812215,0.756991896,0.988362111,0.993667804,1
23.01350375,23.00152279,65.97350011,65.95848042,77.02798894,0.792061927,0.99484478,0.991149327,1
69.68350776,69.6929876,87.13489712,87.13852342,44.55729861,0.37355892,0.982124373,0.997065828,1
64.36460461,64.36062844,86.29840971,86.29596133,39.77965501,0.411940962,0.981771565,0.997329224,1
35.41794501,35.42600125,72.40112688,72.40917305,30.37604055,0.646410126,0.981647671,0.997102921,1
23.02243742,23.01483667,59.80835382,59.7971764,40.88385452,0.754388255,0.988137222,0.994284195,1
33.69313846,33.70757713,69.92344024,69.93798678,29.72283963,0.654126141,0.986513884,0.996961087,1
39.79795309,39.78752127,83.54578772,83.53782954,57.16733069,0.662349218,0.991028828,0.995904482,1
41.57513483,41.56584041,73.98343143,73.97406348,33.05905411,0.566726185,0.978152674,0.996979741,1
39.31677872,39.32411447,72.66159613,72.66896277,30.82359467,0.593009593,0.985724978,0.997081243,1
34.25695719,34.27847607,71.91302203,71.93259131,36.90999305,0.662432118,0.988261004,0.996432444,1
2.396704379,2.398099468,21.21558987,21.22219422,18.98993523,0.974328495,0.998514052,0.978911434,1
1.942268289,1.941642194,19.48883617,19.48602847,11.36837728,0.980121539,0.998787205,0.985032167,1
0.364478423,0.364478423,8.145124112,8.145124112,2.260411598,0.99593719,0.999861492,0.982964216,1
67.48567323,67.47775625,51.17860455,51.17981159,0.604932321,0.021804783,0.941739611,0.999884537,1
62.73574598,62.75579142,98.4951756,98.50463009,55.72338302,0.505397538,0.989640227,0.997128346,1
59.0724453,59.04719539,89.71542966,89.70024862,33.13743242,0.482037952,0.985171185,0.997941188,1
52.37714081,52.39065516,81.97243822,81.98102911,42.61890341,0.497268292,0.976381215,0.996829057,1
40.28475324,40.27576549,74.85009798,74.84247084,34.78319331,0.594011864,0.983131985,0.99689546,1
33.33598732,33.33598732,62.83695628,62.83695628,39.2074996,0.60583469,0.985398179,0.995035119,1
50.3774882,50.36412925,72.89252987,72.8833032,27.33679671,0.449345143,0.979865012,0.997427222,1
59.40308132,59.42124404,89.3320755,89.34326587,56.48496164,0.473922565,0.982690436,0.996461411,1
50.26499359,50.25123093,81.0918148,81.08311128,34.74374867,0.517168746,0.979742156,0.997357981,1
39.56391487,39.57775723,75.35406542,75.36579751,32.70797186,0.610005263,0.982735151,0.99712036,1
31.56623961,31.55858086,68.65636156,68.6482784,50.82575267,0.677770565,0.982156572,0.994608094,1
66.08979812,66.10744946,85.37200126,85.3812473,26.06589969,0.38152718,0.970016715,0.998212039,1
50.9274077,50.93582542,77.17829796,77.18468835,33.94868595,0.482208637,0.984409894,0.997150523,1
46.4071197,46.39983267,75.13966584,75.13338298,30.87956747,0.518200592,0.983696798,0.997265124,1
44.96240966,44.97650631,74.20165792,74.21281763,18.97142955,0.527038565,0.982765543,0.998277457,1
41.53663274,41.55919565,80.65157773,80.67084583,32.08333454,0.620391371,0.988164012,0.997534482,1
43.26821439,43.25218624,80.39062866,80.38249164,39.22543693,0.598584071,0.986059905,0.99696494,1
10.07505067,10.06294976,43.3723045,43.34437314,21.6254856,0.898510047,0.996136197,0.99424862,1
50.41568562,50.39874908,81.34645011,81.33559695,30.50095904,0.516128554,0.982882072,0.997695066,1
18.87028378,18.85279767,58.17991493,58.15185712,40.55764471,0.813530277,0.994297994,0.994006309,1
23.50628422,23.50628422,63.0547187,63.0547187,43.18021782,0.768920013,0.987275755,0.994569752,1
36.19006732,36.19863074,75.84298178,75.8520096,49.69748197,0.657907692,0.987891773,0.995680629,1
32.32282108,32.3164324,69.45928459,69.45234451,46.79138877,0.669024548,0.986472003,0.995150266,1
30.60330472,30.61202175,67.16453641,67.17544293,37.05261038,0.677106416,0.986971918,0.995893839,1
31.76545835,31.7529209,68.46137772,68.4483629,34.81698256,0.671206032,0.986865325,0.996285089,1
32.53575985,32.54559986,70.93236526,70.94109441,42.12080207,0.680995523,0.98689189,0.995814739,1
25.30107881,25.28800329,63.64916185,63.63453662,51.7720484,0.743630988,0.988844585,0.993608886,1
18.9888691,19.0096621,56.27895218,56.31623901,37.09059939,0.803700791,0.991028579,0.994148963,1
7.58964908,7.577322152,36.43415474,36.4068466,16.05764008,0.917931149,0.995619828,0.993947488,1
3.207810759,3.209834543,24.32459195,24.33177327,16.77426924,0.965501524,0.998202553,0.98582925,1
8.529804036,8.527062697,38.57675405,38.57046509,31.73910587,0.906897039,0.995536787,0.989334444,1
29.4230372,29.43462458,67.84587581,67.85890724,49.18389787,0.7039845,0.986908586,0.99465854,1
23.91856692,23.91144247,63.03554849,63.02552449,39.30072404,0.760455306,0.990133052,0.995053855,1
33.25241144,33.26112259,69.45023307,69.46095233,28.3205759,0.65356706,0.987079185,0.997064685,1
32.10408633,32.09565729,69.21926963,69.20915548,20.70120354,0.669256636,0.98614317,0.997839415,1
16.15115028,16.14442161,48.01528151,48.00360638,15.38337427,0.802773355,0.994115824,0.996662947,1
6.84409165,6.84409165,34.1163802,34.1163802,14.97797229,0.923197345,0.99637771,0.993565762,1
4.358722015,4.359285892,27.89458737,27.89687224,16.17882719,0.952202325,0.996339034,0.989604594,1
44.1585749,44.1585749,81.64326015,81.64326015,39.41367464,0.594222717,0.980172017,0.997043511,1
32.55074021,32.56105777,64.92232914,64.93378931,18.73171099,0.633500606,0.984159737,0.997778343,1
49.36937396,49.35301761,88.30784089,88.29758077,69.12028746,0.578303753,0.988744001,0.995567741,1
42.60254761,42.59189106,76.85034262,76.8436353,58.76843323,0.583508756,0.984072166,0.995024242,1
37.93768846,37.95512188,77.51170027,77.53060203,68.39101255,0.643427315,0.984803802,0.994309841,1
50.74524358,50.72576434,86.2975094,86.2830912,59.07708128,0.5461298,0.979928042,0.996033013,1
33.79480421,33.77709814,72.26669779,72.24975096,38.42641642,0.664928188,0.986995062,0.996320248,1
31.80084457,31.80096425,63.1906972,63.19079615,30.84672983,0.633751872,0.987173395,0.996137467,1
28.20178416,28.19983962,60.91795546,60.91574234,30.15927725,0.67683484,0.986781666,0.995936353,1
41.93816487,41.92173278,74.55538179,74.54271499,32.17443986,0.570293921,0.98280705,0.997105384,1
27.73120338,27.74248291,62.08330569,62.09570082,16.47250464,0.690587464,0.987861679,0.997863584,1
34.88781854,34.8760704,65.09522901,65.08739453,24.27022088,0.601769873,0.983304752,0.997135861,1
38.52615581,38.52615581,79.85805634,79.85805634,68.42583255,0.657361482,0.989982914,0.994635211,1
54.85569594,54.85714936,82.02074633,82.02111469,44.00323267,0.473556827,0.987088584,0.996729568,1
14.00410814,14.01145929,52.05321003,52.06492724,56.17085445,0.867471164,0.99582149,0.98963697,1
16.46700679,16.46091688,57.18473953,57.17589892,61.34176626,0.850873463,0.996134905,0.990619363,1
15.44912221,15.45659955,55.18410286,55.19521902,61.34882505,0.857933245,0.996052681,0.989929303,1
17.23827854,17.23205683,59.2291404,59.21992711,68.60891855,0.848417336,0.99681295,0.990219828,1
5.589626505,5.597971463,32.63345157,32.65835189,39.21106984,0.942617158,0.998108661,0.981604407,1
5.525478699,5.52064497,32.07795854,32.06648379,34.70512025,0.941543491,0.99806968,0.983130448,1
27.86056512,27.88612262,67.51410712,67.54970637,29.67739928,0.725559003,0.99238436,0.996746508,1
35.71804793,35.70829192,69.38056566,69.37025737,26.47191518,0.617793362,0.985137933,0.997249948,1
62.90690349,62.8825281,92.44775788,92.43520584,25.16564206,0.464459109,0.984947288,0.998527582,1
28.62201853,28.62201853,61.82326838,61.82326838,37.85572832,0.676129934,0.983772408,0.995047806,1
20.95297042,20.95040483,50.51539021,50.51073825,16.23188185,0.722670737,0.99213197,0.996819242,1
34.58972937,34.58972937,62.95209795,62.95209795,24.23762855,0.585027365,0.982924304,0.996941984,1
35.5519408,35.55242204,69.14181814,69.14238867,35.05036565,0.618399146,0.977838268,0.996334127,1
39.12194347,39.10930068,71.75117676,71.73914241,26.90385835,0.586370444,0.978797209,0.997386669,1
30.50448724,30.50448724,64.27650315,64.27650315,37.38645737,0.66377829,0.982181214,0.995475404,1
29.95796372,29.94821313,65.65545095,65.64584464,29.62319238,0.681003185,0.984494061,0.996563463,1
61.56207821,61.56288724,85.76857958,85.76907019,46.21598509,0.430193281,0.970465437,0.996858744,1
74.26288685,74.30130924,100.9394406,100.9610873,61.35208761,0.41921114,0.980728386,0.996989971,1
24.00179089,24.00219314,60.78876119,60.78919103,55.58817326,0.743962042,0.988299042,0.99247853,1
13.07115826,13.07115826,47.15712361,47.15712361,50.63327354,0.860055869,0.99338367,0.988615567,1
33.48617652,33.48936714,69.35631276,69.36057004,40.25403174,0.650398078,0.985269753,0.995816108,1
6.011961251,6.010356107,32.7737129,32.77005391,17.48432978,0.935302658,0.997625731,0.991860161,1
18.26640496,18.26640496,53.09991735,53.09991735,36.35045321,0.79591201,0.988870459,0.993553973,1
9.047391319,9.032665439,42.76039586,42.72363813,34.94192777,0.914200968,0.99686778,0.990437148,1
17.94070589,17.94070589,58.6448238,58.6448238,39.85833121,0.835003127,0.994620841,0.994205316,1
16.58928716,16.58651699,59.34096426,59.3374704,43.29326566,0.859620891,0.997883514,0.993852387,1
20.49073816,20.49073816,56.91042921,56.91042921,40.58691653,0.779304719,0.991199128,0.99373426,1
9.086111947,9.078818303,41.65662751,41.63894215,45.8073961,0.908629806,0.996955864,0.98679561,1
47.5959354,47.60350117,82.01216901,82.01545534,33.30875675,0.553286149,0.981626632,0.997523983,1
49.7275281,49.7122076,83.51393856,83.50269421,25.41588188,0.537843551,0.980805663,0.998177743,1
35.876927,35.88552211,66.67555062,66.68307694,25.84669688,0.594982249,0.984009824,0.997093364,1
42.80699022,42.80136534,68.5916475,68.5866092,24.48640764,0.514821923,0.981208183,0.997397543,1
62.17089319,62.17190411,96.06976258,96.07019455,70.98181149,0.4956201,0.982377565,0.996154599,1
58.07992635,58.07323597,87.9659373,87.96288667,46.68574483,0.481803699,0.974964236,0.996983247,1
38.36732185,38.36732185,68.67738798,68.67738798,22.12314104,0.571106555,0.983040161,0.997654749,1
18.45268011,18.43736344,55.90737874,55.88473101,10.56766319,0.812635936,0.995906464,0.998308952,1
36.31345014,36.31345014,63.42894405,63.42894405,22.76232212,0.5669715,0.981385822,0.997171139,1
19.10799277,19.10786258,49.88658224,49.88639361,14.43709334,0.759468406,0.988716062,0.997099426,1
28.34465669,28.34465669,60.1192608,60.1192608,14.74914576,0.664565893,0.987844154,0.997959627,1
31.34102234,31.32123107,65.03766224,65.0161537,8.649153359,0.649698608,0.989542683,0.998977379,1
25.04372881,25.04372881,54.56066369,54.56066369,21.68961592,0.679395139,0.988522928,0.996356971,1
28.74992244,28.74416923,57.87195976,57.86427181,18.27086608,0.64049378,0.986466836,0.997271976,1
31.47445393,31.47445393,66.04988343,66.04988343,25.64728367,0.657347084,0.988582249,0.997060542,1
41.30215486,41.28733243,76.01572814,76.00297684,11.24297311,0.584803991,0.988274251,0.999027024,1
47.1267244,47.13555649,73.65277391,73.6607002,19.98343126,0.494674908,0.980534531,0.998158329,1
48.58397323,48.57044882,77.75777299,77.74701124,19.74059941,0.506467358,0.985137839,0.998367338,1
55.00174818,55.01976179,76.92836163,76.94010802,25.99523804,0.429113242,0.985419245,0.997804079,1
51.48618136,51.47372246,71.55203165,71.54295482,25.12046663,0.432703541,0.983223833,0.997546394,1
63.24669021,63.26218026,92.56057843,92.56922147,39.8297316,0.462609444,0.984825877,0.997675758,1
50.01323624,49.99771466,83.45244508,83.44018548,28.76174061,0.537227919,0.984459075,0.997934787,1
39.54364294,39.54430068,66.55424964,66.55477133,32.20776604,0.546770362,0.984647111,0.996364404,1
45.39109578,45.38988477,71.56105447,71.56022342,38.60481584,0.509251624,0.983616014,0.99623068,1
